subject,day,session_name,target_label,n_trials,accuracy,rt_mean_sec,rt_median_sec,rt_from_stimulus_mean_sec,rt_from_stimulus_median_sec,n_errors,most_common_response,session_label,session_order
s01,2026-05-28,syllable_top50,비,1,1.0,2.4546772999456152,2.4546772999456152,1.9041772999456152,1.9041772999456152,0,비,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,사,1,1.0,1.6183509000111371,1.6183509000111371,0.8169509000111371,0.8169509000111371,0,사,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,상,1,1.0,2.7929311000043526,2.7929311000043526,1.5906311000043527,1.5906311000043527,0,상,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,서,1,1.0,1.9153587999753652,1.9153587999753652,1.1137587999753653,1.1137587999753653,0,서,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,선,1,1.0,3.4251903999829665,3.4251903999829665,2.2233903999829665,2.2233903999829665,0,선,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,성,1,1.0,3.814369599916972,3.814369599916972,2.6118695999169725,2.6118695999169725,0,성,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,소,1,1.0,2.428752899984829,2.428752899984829,1.627552899984829,1.627552899984829,0,소,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,수,1,1.0,2.059035299927928,2.059035299927928,1.2572352999279277,1.2572352999279277,0,수,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,스,1,1.0,2.43332269997336,2.43332269997336,1.6828226999733598,1.6828226999733598,0,스,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,시,1,1.0,1.9971968999598173,1.9971968999598173,1.4466968999598175,1.4466968999598175,0,시,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,아,1,1.0,2.2634364999830723,2.2634364999830723,1.4620364999830722,1.4620364999830722,0,아,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,업,1,1.0,5.34314610005822,5.34314610005822,4.140946100058221,4.140946100058221,0,업,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,오,1,1.0,1.4084341999841854,1.4084341999841854,0.6072341999841854,0.6072341999841854,0,오,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,원,1,1.0,2.9160179999889806,2.9160179999889806,1.1624179999889808,1.1624179999889808,0,원,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,위,1,1.0,3.1533178000245243,3.1533178000245243,2.0510178000245243,2.0510178000245243,0,위,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,의,1,1.0,3.101321000023745,3.101321000023745,2.050321000023745,2.050321000023745,0,의,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,이,1,1.0,2.0805194000713527,2.0805194000713527,1.5300194000713527,1.5300194000713527,0,이,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,인,1,1.0,3.0354669999796897,3.0354669999796897,2.0847669999796894,2.0847669999796894,0,인,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,일,1,1.0,3.3715918000089005,3.3715918000089005,2.2208918000089004,2.2208918000089004,0,일,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,있,1,1.0,5.544680299935862,5.544680299935862,4.293380299935863,4.293380299935863,0,있,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,자,1,1.0,1.9449517000466583,1.9449517000466583,1.1435517000466584,1.1435517000466584,0,자,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,장,1,1.0,4.036764199961908,4.036764199961908,2.834464199961908,2.834464199961908,0,장,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,전,1,1.0,2.9569734999677166,2.9569734999677166,1.7551734999677169,1.7551734999677169,0,전,S9 Syllable Top 50,9
