session_name,target_label,mean_accuracy,sem_accuracy,mean_rt,sem_rt,total_trials,n_subjects
syllable_top50,리,1.0,0.0,2.820590633355702,1.005414170545759,3,1
syllable_top50,보,1.0,0.0,2.2322182000692314,0.30965332379994426,3,1
syllable_top50,부,0.6666666666666666,0.33333333333333337,2.299538966656352,0.28381522675927523,3,1
syllable_top50,비,1.0,0.0,2.254145899981571,0.2789556709968359,3,1
syllable_top50,사,1.0,0.0,1.6143490332954873,0.007823941169765238,3,1
syllable_top50,상,1.0,0.0,2.448294333376301,0.17771908853191523,3,1
syllable_top50,서,1.0,0.0,1.9262173334136605,0.15758691290490756,3,1
syllable_top50,선,1.0,0.0,2.789658600037607,0.3329599163722216,3,1
syllable_top50,성,1.0,0.0,2.823412899975665,0.49552312844347063,3,1
syllable_top50,소,1.0,0.0,1.933155233389698,0.25698098237526884,3,1
syllable_top50,수,1.0,0.0,1.8662708999666695,0.14310905980001873,3,1
syllable_top50,스,0.6666666666666666,0.33333333333333337,2.4067791666214666,0.31777338145543593,3,1
syllable_top50,시,1.0,0.0,1.9881626333420475,0.24362284171566745,3,1
syllable_top50,아,1.0,0.0,1.9906554333865643,0.21606383620215905,3,1
syllable_top50,업,1.0,0.0,4.087317733443342,0.6570132334798077,3,1
syllable_top50,오,1.0,0.0,1.4807653666551535,0.10402560681971719,3,1
syllable_top50,원,1.0,0.0,2.827433733463598,0.06009794687362853,3,1
syllable_top50,위,1.0,0.0,3.611231833230704,0.983756804128266,3,1
syllable_top50,의,1.0,0.0,2.65559693328881,0.2779807555315187,3,1
syllable_top50,이,1.0,0.0,1.858610466743509,0.11097278207193438,3,1
syllable_top50,인,1.0,0.0,2.701193399960175,0.2582105281939568,3,1
syllable_top50,일,1.0,0.0,3.289235500036739,0.07910183098886099,3,1
syllable_top50,있,1.0,0.0,4.076900033357863,0.7351185597299045,3,1
syllable_top50,자,1.0,0.0,1.6894441000185907,0.1291361013893361,3,1
syllable_top50,장,1.0,0.0,3.299379999943388,0.4657324919045411,3,1
syllable_top50,전,0.6666666666666666,0.33333333333333337,2.9607516332762316,0.6459669539122753,3,1
syllable_top50,정,1.0,0.0,2.533362300057585,0.33648458880233195,3,1
syllable_top50,제,1.0,0.0,3.6872172999816635,0.5305021199173259,3,1
syllable_top50,주,1.0,0.0,2.0401886666659266,0.10407928526767306,3,1
syllable_top50,중,1.0,0.0,3.228132100038541,0.2660931865300688,3,1
syllable_top50,지,1.0,0.0,1.9558897999037679,0.3042256888986843,3,1
syllable_top50,하,1.0,0.0,2.6566614999901503,0.48826159494538784,3,1
syllable_top50,회,0.6666666666666666,0.33333333333333337,4.859937966684811,0.9289896933447962,3,1
