session_name,session_label,target_label,mean_accuracy,sem_accuracy,mean_rt,sem_rt,mean_rt_from_stimulus,sem_rt_from_stimulus,total_trials,n_subjects
syllable_top50,S9 Syllable Top 50,아,1.0,0.0,1.9906554333865643,0.21606383620215905,1.1892554333865641,0.21606383620215902,3,1
syllable_top50,S9 Syllable Top 50,업,1.0,0.0,4.087317733443342,0.6570132334798077,2.885117733443342,0.6570132334798078,3,1
syllable_top50,S9 Syllable Top 50,오,1.0,0.0,1.4807653666551535,0.10402560681971719,0.6795653666551535,0.10402560681971719,3,1
syllable_top50,S9 Syllable Top 50,원,1.0,0.0,2.827433733463598,0.06009794687362853,1.0738337334635981,0.060097946873628634,3,1
syllable_top50,S9 Syllable Top 50,위,1.0,0.0,3.611231833230704,0.983756804128266,2.5089318332307045,0.9837568041282664,3,1
syllable_top50,S9 Syllable Top 50,의,1.0,0.0,2.65559693328881,0.2779807555315187,1.60459693328881,0.27798075553151846,3,1
syllable_top50,S9 Syllable Top 50,이,1.0,0.0,1.858610466743509,0.11097278207193438,1.308110466743509,0.11097278207193438,3,1
syllable_top50,S9 Syllable Top 50,인,1.0,0.0,2.701193399960175,0.2582105281939568,1.750493399960175,0.25821052819395673,3,1
syllable_top50,S9 Syllable Top 50,일,1.0,0.0,3.289235500036739,0.07910183098886099,2.1385355000367388,0.07910183098886099,3,1
syllable_top50,S9 Syllable Top 50,있,1.0,0.0,4.076900033357863,0.7351185597299045,2.825600033357864,0.7351185597299045,3,1
syllable_top50,S9 Syllable Top 50,자,1.0,0.0,1.6894441000185907,0.1291361013893361,0.8880441000185906,0.12913610138933612,3,1
syllable_top50,S9 Syllable Top 50,장,1.0,0.0,3.299379999943388,0.4657324919045411,2.097079999943388,0.46573249190454097,3,1
syllable_top50,S9 Syllable Top 50,전,0.6666666666666666,0.33333333333333337,2.9607516332762316,0.6459669539122753,1.7589516332762318,0.6459669539122754,3,1
syllable_top50,S9 Syllable Top 50,정,1.0,0.0,2.533362300057585,0.33648458880233195,1.330862300057585,0.33648458880233195,3,1
syllable_top50,S9 Syllable Top 50,제,1.0,0.0,3.6872172999816635,0.5305021199173259,2.5851172999816634,0.5305021199173258,3,1
syllable_top50,S9 Syllable Top 50,주,1.0,0.0,2.0401886666659266,0.10407928526767306,1.2383886666659265,0.104079285267673,3,1
syllable_top50,S9 Syllable Top 50,중,1.0,0.0,3.228132100038541,0.2660931865300688,2.025432100038541,0.26609318653006875,3,1
syllable_top50,S9 Syllable Top 50,지,1.0,0.0,1.9558897999037679,0.3042256888986843,1.4053897999037677,0.30422568889868434,3,1
syllable_top50,S9 Syllable Top 50,하,1.0,0.0,2.6566614999901503,0.48826159494538784,1.65526149999015,0.4882615949453878,3,1
syllable_top50,S9 Syllable Top 50,회,0.6666666666666666,0.33333333333333337,4.859937966684811,0.9289896933447962,3.5582379666848105,0.9289896933447961,3,1
