subject,day,session_name,target_label,n_trials,accuracy,rt_mean_sec,rt_median_sec,rt_from_stimulus_mean_sec,rt_from_stimulus_median_sec,n_errors,session_order
s01,2026-05-28,all_consonants,ㅁ,2,1.0,1.5190026499913074,1.5190026499913074,1.1690026499913073,1.1690026499913073,0,4
s01,2026-05-28,all_consonants,ㅂ,2,1.0,1.7557395500480197,1.7557395500480197,1.6057395500480198,1.6057395500480198,0,4
s01,2026-05-28,all_consonants,ㅃ,2,1.0,1.4073066000128165,1.4073066000128165,0.9567066000128166,0.9567066000128166,0,4
s01,2026-05-28,all_consonants,ㅅ,2,1.0,1.2369649500469677,1.2369649500469677,1.0869649500469678,1.0869649500469678,0,4
s01,2026-05-28,all_consonants,ㅆ,2,1.0,1.4373038999619894,1.4373038999619894,0.9869038999619895,0.9869038999619895,0,4
s01,2026-05-28,all_consonants,ㅇ,2,1.0,0.9744097999646328,0.9744097999646328,0.8244097999646328,0.8244097999646328,0,4
s01,2026-05-28,all_consonants,ㅈ,2,1.0,1.0911048000562005,1.0911048000562005,0.9411048000562006,0.9411048000562006,0,4
s01,2026-05-28,all_consonants,ㅉ,2,1.0,1.6859357000794262,1.6859357000794262,1.2352357000794263,1.2352357000794263,0,4
s01,2026-05-28,all_consonants,ㅊ,2,1.0,1.6306945499964058,1.6306945499964058,1.2806945499964058,1.2806945499964058,0,4
s01,2026-05-28,all_consonants,ㅋ,2,1.0,1.517809099983424,1.517809099983424,1.1678090999834239,1.1678090999834239,0,4
s01,2026-05-28,all_consonants,ㅌ,2,1.0,1.4030137499212287,1.4030137499212287,1.0530137499212286,1.0530137499212286,0,4
s01,2026-05-28,all_consonants,ㅍ,2,1.0,2.493951099982951,2.493951099982951,2.1439510999829507,2.1439510999829507,0,4
s01,2026-05-28,all_consonants,ㅎ,2,1.0,1.5859973499900661,1.5859973499900661,1.235997349990066,1.235997349990066,0,4
s01,2026-05-28,basic_vowels,ㅏ,2,1.0,1.0081988000310957,1.0081988000310957,0.6072988000310957,0.6072988000310957,0,5
s01,2026-05-28,basic_vowels,ㅓ,2,1.0,1.0827425500028767,1.0827425500028767,0.6816425500028767,0.6816425500028767,0,5
s01,2026-05-28,basic_vowels,ㅗ,2,1.0,1.3572809000615962,1.3572809000615962,0.9565809000615961,0.9565809000615961,0,5
s01,2026-05-28,basic_vowels,ㅜ,2,1.0,1.0133027500123717,1.0133027500123717,0.6120027500123717,0.6120027500123717,0,5
s01,2026-05-28,basic_vowels,ㅡ,2,1.0,1.2526090500177816,1.2526090500177816,0.9026090500177817,0.9026090500177817,0,5
s01,2026-05-28,basic_vowels,ㅣ,2,1.0,1.1667295000515878,1.1667295000515878,1.016729500051588,1.016729500051588,0,5
s01,2026-05-28,double_vowels,ㅑ,2,1.0,1.4572431999258697,1.4572431999258697,0.5049431999258698,0.5049431999258698,0,6
