day,session_name,trial_index_session,correct,rt_sec,moving_accuracy,moving_rt,moving_rt_from_stimulus,target_label,selected_label
2026-06-02,syllable_top100,6,1,2.1467741997912526,1.0,2.7360050166413807,1.5925883499747142,오,오
2026-06-02,syllable_top100,7,1,2.585234500002116,1.0,2.7144663714072004,1.4981520856929145,계,계
2026-06-02,syllable_top100,8,0,3.991188099840656,0.875,2.874056587461382,1.5906065874613822,년,눤
2026-06-02,syllable_top100,9,1,1.2384935000445694,0.8888888888888888,2.6923273555261806,1.4179717999706252,산,산
2026-06-02,syllable_top100,10,1,2.00329319993034,0.9,2.623423939966597,1.3763239399665967,후,후
2026-06-02,syllable_top100,11,1,1.4843999999575317,0.9,2.4504393099574373,1.2382993099574373,우,우
2026-06-02,syllable_top100,12,1,1.38398059993051,0.9,2.3483984399586917,1.1180903799656405,연,연
2026-06-02,syllable_top100,13,1,1.2603123001754284,0.9,2.0900596999563277,0.9097816399632765,사,사
2026-06-02,syllable_top100,14,0,3.394328200025484,0.8,2.177162339957431,1.00690427996438,대,닷
2026-06-02,syllable_top100,15,1,3.141937999986112,0.8,2.2629942599684,1.1027061999753491,제,제
2026-06-02,syllable_top100,16,1,1.9915058999322357,0.8,2.2474674299824984,1.0722293699894472,인,인
2026-06-02,syllable_top100,17,1,1.6014984999783335,0.8,2.14909382998012,1.059085769987069,아,아
2026-06-02,syllable_top100,18,1,1.781736700097099,0.9,1.9281486900057643,0.9333406300127134,자,자
2026-06-02,syllable_top100,19,0,1.9472918000537904,0.8,1.9990285200066864,1.0693304600136355,이,비
2026-06-02,syllable_top100,20,0,2.0386741999536757,0.7,2.00256662000902,1.0628385600159689,세,전
2026-06-02,syllable_top100,21,1,3.041827999986708,0.7,2.1583094200119377,1.1585313600188867,감,감
2026-06-02,syllable_top100,22,1,2.071170600131154,0.7,2.227028420032002,1.2302884200320021,유,유
2026-06-02,syllable_top100,23,1,3.785787499975413,0.7,2.4795759400120003,1.4327859400120004,해,해
2026-06-02,syllable_top100,24,0,3.934887700015679,0.7,2.53363189001102,1.42162189001102,영,읭
2026-06-02,syllable_top100,25,1,2.64704760001041,0.7,2.4841428500134497,1.4072928500134496,치,치
2026-06-02,syllable_top100,26,1,2.4613119000568986,0.7,2.531123450025916,1.4942934500259162,지,지
2026-06-02,syllable_top100,27,1,1.8557414000388237,0.7,2.556547740031965,1.479627740031965,상,상
2026-06-02,syllable_top100,28,1,2.135453099850565,0.7,2.5919193800073117,1.4748893800073115,성,성
2026-06-02,syllable_top100,29,1,3.6358052999712527,0.8,2.760770729999058,1.5886007299990579,내,내
2026-06-02,syllable_top100,30,1,3.532029499998316,0.9,2.910106260003522,1.727946260003522,것,것
2026-06-02,syllable_top100,31,0,3.9971121000126,0.8,3.005634670006111,1.8686346700061112,신,오
2026-06-02,syllable_top100,32,0,1.7754948001820594,0.7,2.9760670900112016,1.8942670900112017,거,기
2026-06-02,syllable_top100,33,1,4.294798300135881,0.7,3.0269681700272484,1.8799481700272485,명,명
2026-06-02,syllable_top50,1,0,1.805553400190547,0.0,1.805553400190547,0.703653400190547,개,가
2026-06-02,syllable_top50,2,1,2.2244116000365466,0.5,2.014982500113547,1.0631325001135465,주,주
2026-06-02,syllable_top50,3,1,2.9434267999604344,0.6666666666666666,2.3244639333958426,1.4397306000625092,스,스
2026-06-02,syllable_top50,4,1,1.685869200155139,0.75,2.1648152500856668,1.3009652500856668,오,오
2026-06-02,syllable_top50,5,1,1.503603900084272,0.8,2.032572980085388,1.1811329800853878,구,구
2026-06-02,syllable_top50,6,1,3.4235556998755783,0.8333333333333334,2.264403433383753,1.3544867667170861,장,장
2026-06-02,syllable_top50,7,1,3.365037600044161,0.8571428571428571,2.421636885763811,1.4773226000495254,일,일
2026-06-02,syllable_top50,8,1,2.403227600036189,0.875,2.4193357250478584,1.4428107250478583,것,것
2026-06-02,syllable_top50,9,0,1.7855150999967009,0.7777777777777778,2.3489112111532853,1.3918001000421742,부,구
