condition_name,trial_in_condition,rolling_accuracy_mean,rolling_accuracy_sem,rolling_rt_correct_mean,rolling_rt_correct_sem,n_subjects
C4_MediumB,4,0.5,,1.447815699968487,,1
C4_MediumB,5,0.4,,1.447815699968487,,1
C4_MediumB,6,0.3333333333333333,,1.447815699968487,,1
C4_MediumB,7,0.42857142857142855,,1.5281944999781747,,1
C4_MediumB,8,0.375,,1.5281944999781747,,1
C4_MediumB,9,0.3333333333333333,,1.5281944999781747,,1
C4_MediumB,10,0.3333333333333333,,1.5281944999781747,,1
C4_MediumB,11,0.4444444444444444,,1.5673759250203148,,1
C4_MediumB,12,0.4444444444444444,,1.6578702999977395,,1
C4_MediumB,13,0.3333333333333333,,1.7175218667058896,,1
C4_MediumB,14,0.4444444444444444,,1.7398156250128523,,1
C4_MediumB,15,0.4444444444444444,,1.7398156250128523,,1
C4_MediumB,16,0.3333333333333333,,1.7567701333512862,,1
C4_MediumB,17,0.3333333333333333,,1.7567701333512862,,1
C4_MediumB,18,0.4444444444444444,,1.6124177500023507,,1
C4_MediumB,19,0.4444444444444444,,1.6124177500023507,,1
C4_MediumB,20,0.4444444444444444,,2.3860617500031367,,1
C4_MediumB,21,0.3333333333333333,,2.5885179000130543,,1
C4_MediumB,22,0.4444444444444444,,2.318670850014314,,1
C4_MediumB,23,0.4444444444444444,,2.236838700075168,,1
C4_MediumB,24,0.4444444444444444,,2.236838700075168,,1
C4_MediumB,25,0.4444444444444444,,2.236838700075168,,1
C4_MediumB,26,0.5555555555555556,,2.331092720059678,,1
C4_MediumB,27,0.4444444444444444,,2.6190257500857115,,1
C4_MediumB,28,0.4444444444444444,,2.6190257500857115,,1
C4_MediumB,29,0.4444444444444444,,1.8601027000695467,,1
C4_MediumB,30,0.5555555555555556,,1.6690285400487483,,1
C4_MediumB,31,0.5555555555555556,,1.950827560061589,,1
C4_MediumB,32,0.4444444444444444,,2.068692375032697,,1
C4_MediumB,33,0.5555555555555556,,1.9687012600246816,,1
C4_MediumB,34,0.6666666666666666,,1.9920220666875441,,1
C4_MediumB,35,0.6666666666666666,,1.7517122500188027,,1
C4_MediumB,36,0.7777777777777778,,1.914085571454572,,1
C4_MediumB,37,0.8888888888888888,,1.9528474250400905,,1
C4_MediumB,38,0.8888888888888888,,1.8522195875120815,,1
C4_MediumB,39,0.8888888888888888,,1.8600322875136044,,1
C4_MediumB,40,0.8888888888888888,,1.9688008125231136,,1
C4_MediumB,41,1.0,,1.8842646444682032,,1
C4_MediumB,42,1.0,,1.8609064333658252,,1
C4_MediumB,43,1.0,,1.917623622265334,,1
C4_MediumB,44,1.0,,2.2711438222581313,,1
C4_MediumB,45,1.0,,2.640856044470436,,1
C4_MediumB,46,1.0,,2.5114504666740283,,1
C4_MediumB,47,1.0,,2.7245057000157735,,1
C4_MediumB,48,1.0,,2.7745818777992906,,1
C4_MediumB,49,1.0,,2.561293166674053,,1
C4_MediumB,50,1.0,,2.6980583333255104,,1
C4_MediumB,51,1.0,,2.711179855538325,,1
C4_MediumB,52,1.0,,2.6110686555297837,,1
C4_MediumB,53,1.0,,2.4444706777576357,,1
C4_MediumB,54,1.0,,1.8447913666410993,,1
C5_LowA,1,,,,,1
C5_LowA,2,,,,,1
C5_LowA,3,0.0,,,,1
C5_LowA,4,0.0,,,,1
C5_LowA,5,0.0,,,,1
C5_LowA,6,0.0,,,,1
C5_LowA,7,0.0,,,,1
C5_LowA,8,0.0,,,,1
C5_LowA,9,0.0,,,,1
C5_LowA,10,0.1111111111111111,,,,1
C5_LowA,11,0.2222222222222222,,1.790076700039208,,1
C5_LowA,12,0.2222222222222222,,1.790076700039208,,1
C5_LowA,13,0.2222222222222222,,1.790076700039208,,1
C5_LowA,14,0.2222222222222222,,1.790076700039208,,1
C5_LowA,15,0.2222222222222222,,1.790076700039208,,1
C5_LowA,16,0.2222222222222222,,1.790076700039208,,1
C5_LowA,17,0.2222222222222222,,1.790076700039208,,1
C5_LowA,18,0.3333333333333333,,1.68544686671036,,1
